id,tau,theta,omega,tau_est,theta_est,omega_est
1,1.691044176746674,0.3542520453104609,-0.20636931804429573,1.9231101383014013,0.4191595560543138,-0.005645708106806975
5,4.136090526517495,0.37130086306315563,0.25657295325499635,3.3481876337538585,0.33430667687410853,0.4393471848608886
7,1.2770436960780838,1.0888029935627097,-0.8744651817820001,1.5652098338903995,1.0304569475418024,-0.6765145326941556
8,1.233452913979478,0.16024032657817375,-2.282712047816277,1.8063344325327362,0.10866952298811844,-1.730316896524765
9,4.004482324351659,-0.29083063306126283,-0.03700590820129912,4.3390876607458075,-0.3252680301603939,0.07085362163985097
11,2.494268596606429,0.3811767274275844,-0.296257751656506,0.9974400205291333,1.0861137790764055,-0.44179015591403636
13,1.6792977102124589,-0.7156561568893185,-0.0667310498633449,1.4995289059473147,-0.657316133082318,0.28551370080737476
14,3.406498621339177,0.3897613100764222,0.5395587039113604,2.5816837706113267,0.6103154360687947,0.923810414418512
15,2.304447500159092,1.3745979870860772,-1.677980852830519,3.465483364032518,1.5690650110881388,-1.4242916326332655
16,2.741889798390425,0.233695622301964,-2.0270460908551295,2.7673658887469803,0.28268460252746047,-2.0096822512470687
17,1.9835264513620698,-1.0080279580417753,0.27922767856392616,2.010682951134218,-0.8756668123989161,0.6440117884260875
22,6.263398800789196,-1.4338335347391968,0.5747675599472004,5.567662983903149,-1.8294836436735833,0.6629468578438259
23,8.117057362912368,0.3091322380074232,0.20229132079486786,6.119427763270714,0.34756518195117636,0.16627811227217199
24,3.732170452399524,-0.36954523897293845,-0.8757516657082965,4.053510517134201,-0.31753992485661864,-1.0053877109837053
29,1.3177372865299712,1.3528272092609093,0.5755602176503936,1.1254663238203095,1.5705633095540503,0.4673310148977843
30,4.088941751371657,-0.4237979276374406,-1.3049044838722856,4.1452066431530525,-0.710911063438233,-1.636427651544696
33,3.464827652921064,-0.7212919276568868,-0.6913170407418505,3.417601403037582,-0.7856235417226111,-1.209459295506823
35,16.239344574556306,0.8980474789633326,-0.7209708594140242,10.32107883453343,0.9594226257922367,-0.855025327628021
36,1.591640923550764,0.6745087679671189,1.3070008329534986,1.2566655158351043,0.7934299158149861,0.7231160409025776
37,2.824318466780825,1.5129058936151871,-0.8173731849914977,2.7613483505060157,1.7131013776198452,-1.1480784658885126
41,3.7713718892534125,-0.2593100260601484,0.4545690408241549,3.282457217545163,-0.3206333437304222,0.4717730393039636
42,1.1014711585772963,-0.7544175959817901,-1.2514186808803776,1.0265675247702148,-0.8254613643429191,-1.0913139633451892
43,1.2411027023596224,-0.4698724786217903,0.7253278340255024,1.579486176688881,-0.3343954823995904,0.39859887664843047
44,2.016711332124659,-0.6712481923778751,0.9524413205169151,1.273108998536275,-1.2892412446093318,0.7728217183497956
46,1.7315307299444294,-0.10945679352037957,0.002614069653123064,0.5249749741558357,-0.5270245201134086,0.2776601438491363
49,2.626537274847008,-1.1021024175499639,0.5280999531896775,1.689985672125729,-1.7752999950009336,0.20946023970847374
51,2.5898064441785147,-0.88930698171036,1.317498785142446,2.281511640889787,-1.028713927392866,1.1968849334805651
52,3.1580892078400775,0.355919381678801,1.0024353239188661,1.9794415692108425,0.5456610292734964,1.2370355467008731
56,1.8412291367272131,0.8842728960766892,-2.51903274342791,3.6680912158187136,0.52654034442627,-1.4912941225376701
57,6.014706475574704,-0.13385148243821826,1.2591371767427153,4.842436457307636,-0.19245072375740724,1.3001505858522286
58,1.7283861492047023,-0.4772128830071794,-1.0703444439922116,1.040282124605214,-0.6701364752252255,-1.0112928220471273
59,6.899760021956616,-0.24621402760929353,0.6642759194551977,6.641505227988367,-0.31317420336660523,0.8869364091101172
64,1.3620999666961522,-2.1285340013160603,0.8064322635900572,1.5097304892007803,-2.0328004713296037,-0.46601866589422164
65,2.421708523393232,-0.6216630697159365,-0.3170189898670879,2.4903211831505385,-0.7092805492242787,-0.6579757169600263
69,1.7981423798586065,-1.0464346953895285,0.9831166156567938,1.285118315286968,-1.3324133921302692,1.0543419272543466
70,4.385499028951801,-0.18895288545882935,1.2132069540401744,3.0241986116977926,-0.23701588244812705,1.2784723934044557
78,1.7597358337912494,1.4725767617744216,1.0380305452390668,1.744583426448963,1.4962221051079554,1.0645970881037015
81,1.336744026082304,-1.0365883762406174,-1.542366153296705,1.4089530442418985,-1.1774515311442901,-1.4914854944961482
84,2.518317219937127,0.9221920114296246,-0.8663624093609709,1.8147726136336675,1.3842553322767541,-1.5825630979474752
86,7.976036967254029,0.3274032936628795,-0.4112189443187753,12.394753744061292,0.3602682457579097,-0.44989834275028817
87,4.950105002284037,0.140215643463418,0.057189680851722144,4.46155118199514,0.15475128749529501,0.09714717623434051
