id,tau,omega,tau_est,omega_est
1,1.6445458857497794,2.29420090105368,1.5306488047079232,1.8740508393038995
5,2.6929131179168246,1.3917896136095445,2.752654077015826,1.3983997207245913
6,1.770831987449275,-0.16334627005567703,1.075061563332888,-0.0801166035979063
7,7.107688322216412,0.5684980893852445,6.7795242900377914,0.5176650788565106
8,2.6305863315191598,0.1520160836842039,3.3608005925276734,0.1211627479275067
9,1.78001983414804,0.35734929063859844,1.9857201142779066,0.22309900015166792
12,1.9506868598150764,1.2008204891992507,2.2195411174552935,0.8999448011322396
13,9.603561560846298,-0.1190958539723486,6.050881546118509,-0.35707262235707476
15,2.718612531162054,0.6301884858283506,3.1144562614367626,0.42067149034227086
17,2.129504176165693,0.27320127359754354,1.5427633611207732,0.4485989507764566
18,1.0858409602126278,-0.3152101968241069,1.5608968353696495,0.6846910383833658
19,6.221760438408735,-2.2428593392742173,5.452584381336499,-1.8098193576650157
21,4.2756781764350205,0.22736217436816386,5.5448099254510055,0.314823958591854
22,2.4326355833105695,-0.16031470375399534,3.62695701393346,-0.13373314500509623
23,2.047972137238592,-1.2445888037349218,2.5844338290123563,-1.261003626840306
24,1.197652275697123,-0.28586617709815265,1.117629052032083,-0.6304224900852314
25,1.869808068002389,0.6269757704455615,1.0068671692327427,0.8745380879540868
27,1.4034867625344225,0.9853285478262029,0.8951847833841768,0.9354072865292888
28,1.7742924246931027,0.5829955967083587,1.3362500544771339,0.9113959354361767
31,4.2832060253846835,1.820628749999031,3.604111432422049,1.825823176441181
33,1.4153840240061073,0.7088957082457236,1.0647043005252421,0.7588554757648074
34,5.350457397812959,-0.17309684568387787,4.858532767764614,-0.4333581620901552
35,2.401614923091849,-1.4994439561152224,2.4193085714128495,-1.6099390781872425
36,8.104546232465806,0.6687727395931935,9.215597302462214,0.7041101869696132
40,2.4281636444159598,-0.4435592915506077,2.626489084506925,-0.5411251575325222
44,5.960552871969215,-0.9443646504923574,6.889267484359656,-1.2093767954373154
48,1.0415428306732635,0.13675792424166255,0.9928877116115952,-0.3001840740428827
49,2.5925182811294025,-0.20996154870764028,3.5515670906506474,-0.14805229284403904
50,1.802371199808009,-0.6687673882792553,1.4517818735081296,-1.20950080300349
51,1.0168829653602558,-0.2664996897361316,1.595425630496967,0.2228104479680632
55,3.5019902350108643,-1.6074469180537065,2.8640360408874597,-2.295930312186065
58,1.078710884471731,1.9253155541890266,1.3311259614667146,1.6708723785257862
61,2.691816572671817,0.3523931447371086,4.6922074927548945,0.26457300680088447
62,1.3488180548277564,-0.22401832535347208,0.9028413349633232,0.30882040536860644
64,1.9803830974285674,1.1505205864296844,1.6615655054111118,0.9129280902136512
65,2.2989271383951335,0.04103753504770118,1.274750969498872,-0.16439027710391954
66,2.8840771698919068,-0.1273798132949461,3.201368389698391,0.0417263872838993
70,2.3155170007478962,0.008903876195148175,2.00227979039478,-0.16396922103812225
72,2.186755360240561,-1.092084013906641,2.0497195828990096,-1.267987230931255
73,3.0108153236922828,0.07143565737579055,3.8489369823116655,0.14467348989533102
81,1.3165920028359552,-0.46806176922286064,0.9415301178981316,-0.11993357886651654
85,1.3523827003336213,0.48541840168385764,1.3225449214597003,0.3399408505655475
87,2.205020854278374,0.29746567126952905,2.2050380712509514,0.5099041028228554
89,1.3868967617485435,-0.03297440418435698,1.3146082682908855,0.29801902052331386
92,7.196313147608339,-1.1062782149155008,8.610854883862785,-0.9213843174435375
93,1.4852395298446321,1.5715951413023763,1.5698597126656773,1.5448979732219186
95,1.1935382517377158,-0.4174466475094409,0.6338491827224035,-0.5129123140046432
96,2.1043907492680494,-2.4773605293067344,4.032566533924924,-2.1804495839967544
98,1.2134162820786698,-1.3212623945573825,1.1709152781512009,-1.407808308752551
100,1.60109515717073,0.3264296131046578,0.9454395004864289,0.8849844960215972
101,1.1316139390405449,-0.5710931870337475,1.356762782741864,-0.04167499539794523
102,2.6022981892700603,0.18717468760810166,0.7035060159659657,0.4427277061069502
104,2.1721331957430836,-0.47618236091148886,2.5808832824343058,-0.3921829108879891
106,3.2790564911116644,0.6415135163800271,3.0329841803674014,0.6895705857526817
108,1.9671052942120126,0.1113454717966619,0.7818194042532636,-0.20563089697901255
109,1.0053107133306223,-0.6309930108310341,0.6581715936356117,-0.6441686494834502
110,4.056969815851933,-0.5286270020432249,3.6409936630775226,-0.48468369262574207
111,1.5710042818625483,1.1664853015103454,1.0097293730238337,1.2384918633734268
113,5.89782734699534,-2.0842145914404875,10.811946241326295,-1.403035721902949
117,2.9669428936900695,-2.0799583139001956,3.2702484701373096,-1.644863949423796
120,4.537185017917437,-0.07206708327491843,3.607617058972736,-0.35744269038736565
122,1.0571838135956855,1.0808149380628538,1.3777225776048665,1.2619881483973445
123,2.7510046954882417,-0.8006168894757193,2.2851735689912447,-0.9135209977293344
125,1.8552913483581852,0.5576146088095766,1.3231591425889606,0.03543347508826666
126,1.4375156390475945,2.2787888953961652,1.6561189914483947,1.7393582721207794
128,4.102285328687324,0.8426953184467192,4.485813258843652,0.8580368363459985
130,1.3593911719186555,-0.9540623610688332,1.1116412411636238,-0.7927123230177392
131,9.468347229831258,1.8736269098456688,12.721034002094983,1.908983914133892
132,1.1562655737613854,-0.5813351401960816,0.9569157889655021,-0.7822239824751157
135,8.300552130694822,-0.20988403464952288,5.790754516864619,-0.25780496569954825
136,1.0382391164598381,0.8481677549941719,0.5618427580759262,0.45697706675135275
137,3.0246340127140425,-1.0392466727845362,2.1180914393119994,-1.0797367706251626
142,16.30400442228542,-0.9905957617933878,9.957372825813286,-0.9666512190421901
143,2.7462542267294783,0.5819807340417927,2.8752206445840063,0.7003508443780103
146,2.3049283585922646,-0.39900133246721825,3.19968262846992,-0.1507546893517638
147,1.3419491956345064,-0.775314607580395,0.7843538901631953,-0.9358136867568445
148,6.676091847155099,-0.14842151963683084,5.666252592186247,-0.003697084940995339
151,2.0818194961222027,-0.02710315562814507,3.0177948704678204,0.5174590474418661
153,2.476834028858243,-0.9670300692110434,1.467945017661372,-1.9341773556746056
155,2.210512224541167,-0.7630104267161636,1.5961870225639776,-1.0749291209516492
164,1.171775882548393,-0.4241135492811612,1.4357673330719778,-0.5240419111231781
165,3.356256372922764,0.906561576944256,2.2208446791444465,0.833742210670973
169,2.783550802747708,0.5829147258397647,1.84637557952917,0.7324578569932554
172,1.017065846060451,0.24640782250531798,1.0630064882892847,0.4825710451595785
174,1.8987878528526347,-0.41266720946194363,1.3325722425200635,-1.0172570208972957
175,1.955658715308104,0.49988102616340296,1.5284249574752862,0.33897860587443346
176,1.798383213251499,0.1708016041153984,1.242404627819772,0.2311490840216199
178,5.838813378729106,-2.0649402631503833,6.046770611822472,-1.5835336177840174
181,1.5287916054046133,0.5957666972756296,1.6231277075894923,1.0486845054107317
182,1.6625867053198933,-0.3664245139892213,1.4366876555777193,-0.6563139165568708
184,3.0394903522747003,0.850151632609631,2.928821924898036,1.1301173998428273
185,1.5271111793120424,-1.1410434618314378,1.5106598917989076,-1.072025108624854
186,1.2450335135494335,1.1365935489179912,1.285907151367832,1.6584936329969893
187,2.756993538421159,1.1611350825798405,2.5545650680649996,0.8731238415980332
188,3.482140227704807,1.092198348058448,2.761477986340871,1.912163994268366
190,1.4795772912391074,-1.2151425535204072,0.9260539275244948,-1.1663243298705388
192,1.7170112897877376,-0.3654684680636754,1.9758108732507607,-0.5980031631924518
193,1.2241216058986362,1.1650153846769824,1.2899755205701358,1.3433122301602662
194,5.495895914349219,0.6136203312160771,4.945680902086796,0.5024746589665289
196,1.0658234105061772,0.7329272960675068,0.9446897840467865,0.3393312633350662
197,5.121026831461249,-0.45675902455007367,7.3491854928441045,-0.4724334544778322
198,1.775710168534966,0.5108982923964792,1.4244731166911115,0.6498013001585701
200,1.1804474691398914,-0.2659384374571848,0.8704558980892642,-0.9178587985146972
