id,tau,theta,tau_est,theta_est
10,1.3673794823459962,0.6271018996540911,0.9438363657706782,0.8879002391412002
11,1.0124324805672131,0.5071852010108008,0.9986428626112855,0.729661343731859
13,7.722091792128494,0.13843000639794506,6.185964521065864,0.11282710933867444
16,1.7453453843019364,0.11719024978299945,0.9626128056810244,0.6888290373477511
19,2.207869635585374,-0.09592935532137536,1.0820291198382546,-0.07546631641573198
24,2.236959660990803,0.7415062574368483,1.9772769074188132,0.7289499454043871
25,2.6569522110505353,-0.0948062206636883,2.5144865837778823,-0.07937410484479873
26,1.9501521579679857,0.11200376330320279,2.514730977903363,0.09026141040700789
29,5.588780287825107,-0.794233003296681,3.3977765816768373,-0.8895046336804032
30,2.9121077464116536,0.01759400612233234,1.9405442413629963,0.13720682419428895
33,1.2163236676466382,1.098195857867639,1.336195820262487,1.29725117019965
36,1.137574062304885,-0.8720270596650667,0.9353806836447661,-1.1258668067748105
38,1.7667610721609797,-0.9307988972693361,1.3054133634695662,-1.3227992032128768
43,4.921357433455248,-0.839972066256634,2.846503126739422,-1.4429529520128284
45,2.40857878054466,0.21464243274543102,1.1245951992028325,0.5462404610175465
46,1.2103782992582441,0.6108630833448465,1.0294485652249108,0.7038174331575975
57,1.124897763840859,0.8384495793359901,0.9805859396186103,1.029099369448049
59,2.9789999299910965,0.35394141308846755,2.00054832987624,0.4608957886585727
60,2.2955440383871655,-1.4722689572042273,1.449948370357405,-1.76027445438995
64,11.611877186218116,1.2091289493381685,13.793791147244926,1.0593863152449592
65,1.0990587084989132,0.5085101436462584,0.5288764992096547,0.6217573668897307
66,7.803671036051906,0.325101054210776,5.905405730832343,0.36709983095468196
67,3.9325581844485833,2.2577452425256226,3.9873786568365803,2.2617941848881804
69,1.7115125632749193,-1.6248278077839249,1.8484005607932263,-1.470545495567938
73,1.3522529991778496,1.24729609498209,1.611649915805592,1.1667371542084706
75,3.194819464620547,-0.9943090696993648,2.5223930389341898,-1.0097806644889349
76,2.7619987151528793,0.18475158054654348,2.564569896861666,0.09418752654190765
79,2.178662470734121,-0.31723936630432215,1.6057203617038447,-0.5336752171549616
81,7.2106093997277085,-0.24950041982152407,7.067904563117115,-0.2948395211528378
85,1.9756717030604851,0.10612760666171885,1.7702054011408315,0.44501189236589717
86,2.101697142359694,-1.4702188230055322,2.6160589807756485,-1.6697841353329865
91,2.3818458987011497,0.1478605672544244,2.4712833358143675,0.10754025930020839
93,8.224980025386692,-0.6089246335499574,10.553346647895514,-0.6320661690171204
95,1.1723960138157548,-1.2897238985346715,1.5713276960463922,-1.0553937151257613
100,4.876895437556978,0.6459945653877879,6.314052801657557,0.6687823908624168
102,3.745119091142427,-2.0029466726368605,3.329446569902808,-2.3166864242024503
105,1.9078794069446894,-0.4745423852762181,1.3657756761317703,-0.7179727354567593
108,9.480090416527169,0.23746610126695447,10.59739679915257,0.1648051148547803
109,12.797408849330678,0.8190125066396716,12.31066809146636,1.0105690081754797
111,1.6691054469879403,0.29608758064951984,1.0480163556267836,0.01122091110092274
112,4.073899253192733,-0.4454199267041056,4.834952172934303,-0.5495551001135799
114,1.0387492294020537,-0.18864963801637713,0.3014113178246084,0.06196520099154923
115,1.7066057827687002,-0.5993126491985016,1.087693619234545,-1.0943622321930437
119,1.8458075258155586,-1.6827657950464723,1.9735925394276976,-1.1188334455804914
120,1.0159128848345567,-0.5218260968577733,0.7357320193285114,-0.5351391096119762
121,2.601080781431737,-0.28995248177903327,2.4305296342755534,-0.30584892514271694
122,7.8559899706262195,-0.3385187126821916,8.69271120768248,-0.32116455526475085
124,1.715790240037765,0.8662372399963625,2.4695585833405214,0.8984657880776178
125,6.222553889121637,0.477670951825652,7.926124569564382,0.6318468773521202
126,15.75753093686699,-0.4591324700230541,13.271833882774178,-0.5499808498494544
128,3.743533604994001,-0.1321574280566463,4.487548107503364,-0.18222831855024407
131,2.537472811350589,1.1209581275590947,1.6880281311699514,1.5777052429835157
132,1.2802076690671877,1.2709349201718534,2.2624453743899893,0.8861015659203104
133,1.9369963455321455,1.1234386826510498,1.7706807691553874,1.4031152754036387
135,2.0264711896998464,1.3949472022578064,1.953130410754999,1.6074988348658996
136,1.8969092653924586,0.9027504863180135,3.355693201729696,0.5518196318384713
138,3.1013898435266527,-0.7830701622836997,1.8733285537311222,-1.5557437815351915
139,1.5308263686509713,-1.613386137203075,2.0318739805869,-1.2864208403411546
140,1.6155939584792849,1.4200789980685327,1.8227268564085317,1.0514006600113806
143,2.292953138779971,-1.335989503847144,2.9443081131863296,-1.3111171324240356
155,1.0435346527864364,0.11555929880599983,0.42628743845572087,0.08395990918517515
