id,tau,tau_est
2,1.3197327343371672,0.930314540514729
3,2.957786476769735,2.8853516288671233
5,1.5359125335658865,1.7935009874276966
6,1.6587360424957238,1.5165452940020616
14,1.066581652602631,0.958596624104157
15,2.610375443231188,1.4233484706910693
20,11.199119716704375,9.218442257325943
21,1.1434936943825542,0.44499238865274915
24,1.5834237626589964,1.3947317279561926
27,1.7766964640880323,1.0220322463236602
31,3.011076169329118,3.483125625152148
41,4.260967577191586,4.954367441519075
56,1.7560304208239774,0.8045245962572751
57,5.195627844667013,4.483693841363968
59,4.982389667508369,5.415310898013963
61,1.9282029676653334,1.7184601977194698
62,12.794188836866299,13.298673116909953
66,5.912592793426942,5.0047187986293045
68,3.9268091674670638,3.5881310746376194
69,3.779398200660436,2.5922097378014994
70,1.4000007848158662,1.367979488068337
71,1.0069166487282322,1.0771675988357095
74,1.9122614893742742,1.7286548959972567
75,7.9269699367186615,8.631596599474438
79,1.2946776719068878,1.1212850567092594
85,2.340190314679149,2.2753440061305263
86,2.008942997112139,0.810009636176227
87,1.733248426644133,1.4422929346984932
92,1.290714577424724,0.7225663233596136
93,5.506691599892988,4.580738976699078
94,2.7223983887722376,3.179372194623237
96,1.426965693199101,0.7729495274902063
98,2.406572718769451,1.6247988037475596
99,2.64564992477031,2.2822573516277416
100,8.34044944641187,7.377181231173296
101,1.5136493669591211,0.9794202667747338
103,1.0682197669898792,1.7321302271076928
106,1.1817415966786304,1.3124468147146242
108,1.1831559328221517,1.468949467506659
109,1.4261353894732123,1.9953920289629659
114,2.3379493585453734,1.1866305503225032
115,1.0226144416807548,0.4260213083722621
116,2.2959360316896067,2.196028285067371
118,1.1841514164095186,0.9252650004612342
119,1.960434842291852,2.1079566796346416
123,7.831562066660499,7.9033186223735985
124,2.118061859161797,2.910909520997155
125,6.197886224437208,5.7882661744732316
126,1.0833516780253079,0.7596604190092459
130,1.253953716073354,1.0843328183847545
131,2.755751955493186,2.398612607207274
132,1.287561520164633,0.6895321108463958
134,1.9517264278949351,2.5120693827646585
139,2.5094347344704837,1.5917176667746846
142,4.035571359357775,3.7595976623209544
143,1.8901844389171938,2.4131543344210202
145,1.671569120505917,1.3212481654581394
146,1.4907387571828763,2.040844778555247
147,5.274355265964495,5.331333716879885
148,1.317707393657071,0.9575576077278092
149,1.6590955810602526,1.1627225161312347
150,1.4155978844364174,1.0562577035496703
152,1.1025431469286038,1.1516374636378444
153,5.148702005396661,5.935385253136664
155,1.129482991795291,1.0120152373214597
156,3.904503618397054,3.7785246477867465
165,1.5023883841021601,0.983342164010045
166,1.8675606763918167,1.491554487234336
167,5.355937420196305,5.182026384758753
170,4.353611441284803,3.9856366102127514
171,5.4976976627592045,5.207108390584595
172,1.0441926859927235,0.9829239115586513
175,4.101129398174852,5.156097865228582
178,20.984118424182697,24.222310690690865
179,1.2649357220131743,1.0174367570224696
183,2.653903924317886,2.286134950008215
184,1.512658827687627,2.285932096369243
185,2.4900982352601417,1.0606652085950181
186,7.269824861549844,6.403068232301932
187,3.2191215571975875,4.472035683257281
189,2.0221881717628394,2.099328260655353
194,1.6287529084724932,1.3659786639464584
195,8.741069403124781,7.741619052141244
196,1.6498668938768388,1.5479575068977067
197,1.8593188364098079,1.555177338533734
199,1.1766303386339108,1.0345761172361467
