id,tau,theta,omega,kappa,tau_est,theta_est,omega_est,kappa_est
3,1.2329712523696836,-1.1958660013108064,-1.9279046097100914,1.3447951747655575,1.104218270823564,-1.1150889163555124,-1.8408302370345118,1.2025712461226012
4,5.7279502035775,-0.006669460567518633,0.2879377082349969,0.41229116671520377,4.089484820002996,-0.0018609162737767007,-0.05191329186644731,0.42743242654793867
5,1.799045258107319,-0.23251754412111683,0.7991996236792545,0.8599702477890848,2.6670374897095255,-0.30897517328130447,0.6315442304203801,1.3568245993845052
10,1.593537596392245,1.9694966006574046,1.506712982970308,0.9017340864242805,2.3215240634415197,1.6008695889585085,1.3179146279424712,0.6568731980986107
11,2.738883859054192,-0.027619560744561452,-1.019214366656726,1.1355919777170271,3.575024787962054,-0.029589316428291934,-0.7922392536133377,0.9888446720074908
12,1.040965182228401,-1.0996772844501674,0.32014428652460986,-1.173544813718444,0.9309048434173636,-1.3648561171832831,0.19259405351591335,-0.8206520109524214
14,2.599057283428343,-0.5025791527924497,-0.7250577900128917,0.7563064629448335,1.5571881338911522,-1.0650019064622118,-0.9357645611151925,0.5384693007828378
16,1.6250870164817997,0.8252489936736974,3.0271459799482825,-0.8972807624502671,1.8169998237104419,0.6743909453253356,2.043843391924622,-1.0239930486212825
18,7.864424987764769,-0.9908957971419119,-0.8139677525146514,2.030505848588263,7.943906519493468,-0.8241239930227809,-0.5441719302353646,1.4235240239335576
19,1.0694193913151124,-1.8555717305626394,0.7147752196098421,0.7007758852082401,1.44534654867471,-1.4303848387127442,-0.023528038134902587,0.443136504922461
21,1.5068184150652746,1.2829424341042988,-1.284292496770226,0.38216114025177456,1.8372487808861158,1.3077476525756628,-1.2269110908580787,0.5666201088741555
26,1.1945441136124852,0.5108988191009489,-0.35165117596240975,-0.8060999581390729,1.0252267782482316,0.5283086008956037,-0.21323698999214796,-0.8609413562680669
28,1.2713978451640695,0.4406770164910264,0.22024527224894516,-0.6883687069759865,1.378546509578503,0.3683393928464507,0.7868491281457378,-0.8866666205374031
29,1.8861601529464174,-0.9361513531986984,-1.5729667061838337,0.00853646363017933,2.087859924654525,-0.9005376883164278,-1.5023985484299642,0.4044352782792225
34,3.6710566147830397,-0.22785750151932843,0.26892331462022157,-2.284842563747778,2.910956951287752,-0.29847147475882035,-0.04299061728421005,-2.179790065874874
35,1.265589132963263,-1.5627528899374086,-0.4691537897018052,-1.6187870857660784,1.6147145016818463,-1.3811695116127176,-0.7417594861564606,-1.4110784735112427
38,7.629102196388479,1.2180020545070644,0.4072962595841813,1.9184757395599894,6.155036367882076,1.0442566810125675,0.36065553735320666,0.9330632619437111
39,3.4619961593498614,-0.3841168744112072,1.614774484466636,0.5430532236771526,3.3863902139898534,-0.15211353952669787,1.446323142755546,0.4300395448198135
41,1.851539443149353,1.1608635501318922,0.995517424579642,-0.6866626367804018,1.962929845380161,1.063109108788733,0.7493606240772929,-0.5563528988449448
43,2.7471076598295965,0.4007225999311047,-0.5079837668465964,0.9048571263127998,2.733561698467256,0.3770847957595349,-0.8434315171329665,0.18783740400448146
44,1.583589574888229,-0.09262652077261076,-0.3811616330846275,-1.3872446927621753,1.2948923181881973,-0.04633907338681915,-0.5327753632559454,-1.598608842963415
45,1.4106322084055523,-0.523971162259446,-0.2167530709494121,-0.9270405598672466,0.9780055649795377,-0.7407313134031955,-0.6181619390394502,-0.9822760501277157
47,1.1287875739912343,0.4697330345353098,-0.325861967051809,-0.3429653625883926,1.560440794899967,0.5311939844158293,-0.2917818066841965,-0.5350628914626164
48,1.6025005191049206,-0.07944398974680396,-0.4448535344239295,0.3543551086400744,1.081535915817571,-0.35587057091478075,-0.6800509731669847,0.43311343581157397
49,1.2163508498601423,1.1616332379304966,-0.11879066373459735,0.8563463223805483,1.557459777827334,0.9618483617364358,-0.3568302325308924,0.7322684391821609
50,1.403288629890109,-0.7614970935277252,1.5958276559724285,-0.2794945522663169,1.8699088082937376,-0.6531909303510934,1.9506684669143628,-0.7729691746780681
51,1.8985813484213998,-0.23341256512705572,-0.8200579998821343,-0.549769981807594,1.7330400465315847,-0.47620939148341296,-0.8230033428664162,-0.8103331113644432
53,2.115612330899375,-1.3862790419618503,-1.073193273251847,-0.8163139788479359,3.1769187024720917,-1.2114284791258179,-0.5748839430296201,-1.1566951379427275
54,1.8700621324588949,0.10556377379817601,1.1258280732116996,0.2264317580394252,2.8385361684705104,0.040502054319511364,1.2244811961687403,-0.0540526784014597
55,3.0947618920482882,-0.6582588518029462,0.1901665647558438,-0.2357967485524379,2.643980002199305,-0.773352155437365,-0.02442444983599806,0.09562201596032616
56,1.0111780939248673,0.3327726638276299,0.48480695792040424,0.9227677994872194,0.9652969019230138,0.7946572329348178,0.2590310200535308,0.5156498035965085
58,1.8599723997329323,-0.6457861116532758,0.5554118563653431,1.6873468358956871,1.9641239809815882,-0.5856736492670733,0.8761774878878199,1.438929463508147
60,1.9052552833603802,0.6132989133236587,-0.1550750897337758,-0.06555731056607414,1.3293851674945816,1.059296723524503,-0.1677791281206867,-0.3425492435833642
61,5.584462262310236,0.19028052090020262,-2.224789932286226,0.4906958834027475,10.634838599417256,0.24033276285804883,-2.0215743790455925,0.43759498176694134
65,1.3069443817307174,-0.018720656359645697,1.065206839314593,-0.3070653782392296,1.4471255561108551,0.1342123863132026,1.0093204185667441,-0.12039120982131987
66,8.344441959995812,-0.07404147924057085,-0.31335760795980283,-0.9259828805169821,5.379091396798739,-0.16599715818257446,-0.7190766811112775,-0.8775823495237558
67,6.670426277227524,0.27466501665659543,0.6010558127219245,0.010438923710387822,4.769674659263998,0.2700550981525253,0.549951376100332,0.04214551550943547
68,3.1259300994312618,1.005480771104665,0.6018598012655534,-0.015283923832691325,1.7782934034900602,1.2978189873184,0.15957591494287196,-0.09314652288397289
71,1.2463023448370114,-1.5100278094458408,0.181793479899365,1.342148043412112,1.6801793943092374,-1.362522194939367,-0.16612295012172731,1.1418312672623694
72,2.880988374993795,0.6564587497632633,-0.5180156511969274,-1.0462704043040125,3.0231003329948987,0.658055638055364,-0.6335502419472457,-0.42136888422911456
74,3.8772912553506393,-0.39787700596054737,0.5847912073610518,0.4814517359838597,4.231306560566978,-0.38634103940243086,0.6277708674125001,0.21571025139585187
83,1.0467265327035482,0.04676433163027992,-0.026713315138046603,-0.5236207593916942,0.5080389129717977,-0.2935304121406587,-0.13641239027481744,-0.30150480075370173
84,2.6370078676787223,-1.2256772619641263,1.2072608224945036,0.4531232618150711,2.792013382439381,-0.9426973710779004,0.6871721260120959,-0.1338472344992838
85,2.2525337853809138,0.9558700825350074,0.8123713077702428,0.6108941380966594,1.7332571171744597,1.2867955484645865,0.44196628851930847,0.3493004695117872
86,1.5503394414810259,-0.12702867257106915,-0.21286433953293993,-0.2979416354194545,1.927914663534002,-0.004916082983786162,0.5392211091519142,-0.3489627084361207
87,4.32417300694667,1.1063096588663228,-1.9735744627931473,-0.8137930732536042,3.8670262449043493,0.8294897668982654,-2.391177377288238,-0.529488800731908
90,12.34841490307718,0.4309959009692654,0.1053885025417514,2.289513044724868,7.077111665212745,0.5469125219738582,0.018491978065893602,1.824307311420108
93,1.1967544889552595,-0.32828830521993807,-1.5908789014007279,-0.6099119578258739,1.707363376313819,-0.32602651908575386,-0.7674130378205487,-0.3120996792961221
94,8.206385832648806,-0.4898451534678009,-0.5832453743316229,0.28543525504827333,9.336165097808324,-0.6539141394288758,-0.5607320076912783,0.1900216662326639
95,1.1734920331371668,1.1790140351931189,2.0958673969180417,-1.4444751688159225,1.484318311243126,0.46343624159608077,1.131796737117568,-1.2286449346084969
96,1.8382985941755325,-0.10056189557296655,1.8647114311904907,0.5016250620009496,1.3503820430233302,-0.08458347058920608,1.8429520657740386,0.345335952667269
97,1.294497882985693,0.008744936687303764,1.0198189619701299,-1.8215777474294337,0.7210392869580619,-0.3194192091900564,0.5408092973322904,-2.118766817234552
99,1.4307207283387782,-0.5220725913066451,0.5077361175050011,2.2439031917949874,1.263615743024815,-0.4298668500794115,0.4028777968180277,1.7776152467508077
101,1.0465809416403415,1.1365279489691316,0.9716298367357697,0.6493909786803383,1.4283890219441708,1.0425358151509534,0.09878395481492404,0.9436471393401649
102,1.784225039215632,0.01360261265247046,-0.9082481488320995,0.5469748303703074,1.1721700845862837,-0.1462146910231357,-1.3668278399848337,0.3038006069427357
108,1.470092019012112,-0.10095853231968932,0.9972160496589096,-0.8684688129731942,0.6298408513430162,0.09805255678949829,0.6173144951232122,-0.6874745510559449
109,4.23119418533102,-0.8720228980565669,-0.8431942877148559,-1.0239057306997421,4.533013001225017,-0.8837564728364431,-0.5877695802330608,-0.3460216111830758
