id,tau,theta,tau_est,theta_est
2,6.571760913134212,0.7914433320984244,6.152169680722873,0.7218925153875148
3,1.7457490808963765,0.19559321738779545,1.3910806500187745,0.1419181056141584
5,3.1987414614311707,0.8334601917304099,3.5554568099136215,0.9178795396883632
6,1.2133905408757504,0.4313707766123116,1.3814641500838352,0.4144377433543261
8,2.2326246543273345,-0.8482722574844956,3.206936626826123,-0.7096563442370689
12,1.3288172282455448,-0.8006115648895502,1.165825323156346,-1.0918244791762635
13,1.677883893972562,-0.47698660660535097,1.4008829115541486,-0.7544608355342357
15,1.1338807708827892,0.15131466556340456,1.7187445962262702,0.28516202870325036
19,2.4086276856848308,-0.616135869640857,1.9113536422218387,-1.1228728550952825
23,1.8358997860733945,0.32371994759887457,3.3052859364540397,0.22825383518705056
24,1.8024270162136913,0.22591385571286082,1.5633565466553265,0.1790206424565115
25,2.9336008606213553,-0.8405802077613771,2.8136059914599354,-1.2795881995909888
29,4.691856142133622,-0.14150539599359035,4.289263765409703,-0.19537541836193326
30,1.505445796476492,0.47653309954330325,0.9894208366452649,0.591008678509173
32,6.10526259726486,0.19907022500410676,5.825422461870108,0.2810464456259738
33,7.655918055395372,-0.14431281900033355,7.8722629839544815,-0.11983724408241558
34,2.574201349673919,-0.12355110934004188,3.1072387220602633,-0.11586518780467461
36,1.5069735699829967,-0.3551049488596618,1.066405596842906,-0.4286156925563933
38,1.2860538313389964,-0.27222079830244184,0.7411747513115774,-0.5027958378634608
41,1.476544941471849,-0.9039867864921689,1.8836018101189147,-0.6557229786823664
43,2.4954792202216374,-0.9781295042484999,3.846925131608067,-0.7117318207395591
44,1.6729856219962984,-0.5271124299615622,1.7046684538614854,-0.870977071519052
48,1.3044271107579835,-0.32286857161670923,0.7956626004465988,-0.7086124442150983
49,1.4566069452615644,-0.04804535722360015,2.1085012267238072,-0.011710157365055771
51,2.2192301006040007,0.4675745703279972,2.649678322769763,0.48566099807909663
57,2.4556769727407763,0.5987611394375563,1.4948908786927475,0.6927059488235642
61,1.3114722172352486,-0.41745725739747286,2.279229175309581,-0.39306617885277434
63,1.4350484003168276,-0.3562248726375401,1.3002200597260205,-0.5202302460006711
65,11.308560952970558,-0.8681780928745866,14.90217545179581,-0.9362558890966719
68,1.2282094981281393,0.690539619885385,1.1050574479118782,0.6770502742773549
69,1.5518599196980138,0.08298205817118287,1.1926288601608885,0.12486514519407288
70,1.827592920903667,0.8704459709115326,1.5642758747416297,0.8077746107882118
71,1.8966514419623899,-0.5432338113896549,2.999430027099184,-0.4803590950374482
74,1.2194666390234203,0.21082138316705823,0.6677196684769946,0.1916115659664751
79,2.264388414863869,-0.7392469118349254,1.947961032780805,-0.9959090125833084
81,5.1579416135195775,0.17487422889098525,4.872828368758758,0.24136561239078122
82,1.3399524429505683,0.9850751399062574,2.306660000203558,0.664759519139654
83,3.8509641362565046,0.7103162733837962,3.994712643709036,0.6721642375369803
86,1.6320764184779284,0.48146577132865787,1.0562394226166194,0.6819193438532899
87,1.1970476377916424,-0.6941083194687963,0.8295250293853634,-0.6434831820566584
88,1.0423328695997167,0.22098444076254964,0.7579232584167132,0.4227972869167101
92,1.037389794397196,0.9527004500851035,1.3257853332255436,0.6668555379307989
93,3.542814142459319,0.12725086975842714,4.137611984584644,0.13867625898856561
94,1.0433711364061224,-0.6352987559512258,0.5632350818360641,-0.6104350020795704
97,1.215559749114981,0.6813064976595342,1.5283631777776885,0.5436529406108378
99,4.202387539718214,-0.2355530741624534,5.003133605344284,-0.21109673944737947
