id,tau,theta,omega,kappa,tau_est,theta_est,omega_est,kappa_est
3,1.9745824198063482,-0.4582160385325551,2.475571818649769e-4,-0.8344038892537355,1.5744870720392172,-0.6952942015277923,0.21724890966949356,-1.069418944270045
4,4.852299776949382,0.535992871504277,-0.221357227768749,-0.792085777502507,4.707585129562097,0.5104725993754098,-0.1326166908610866,-0.3631361874087725
5,1.1534823040199698,-0.19818419590592384,-0.8096140809357166,-0.6100964643992484,1.7456693387607929,-0.16485115167195574,-0.707446528703905,-0.36184055942988946
7,2.104177310599711,-0.11543112900108099,-0.386244532186538,-0.47096429066732526,1.4501826551203845,0.09707535017479386,-0.8129770830867588,-0.7669003568829847
8,2.1155380256709955,-0.6214812998659909,-0.98178532207384706,-0.9756385763175786,1.5645890716830118,-0.7567242267862854,-0.7830655988181286,-0.24566893710900203
9,2.5463322584524866,0.4402273911982775,-0.5701132556423545,0.7582003120332956,3.0406942281516236,0.48709417268728994,-0.5615127063068144,0.7795714250059558
10,3.2710089610475146,-0.3598348069936037,-0.8837591111660004,-0.06774566089734435,3.5545047160546233,-0.47022379244167595,-1.0999002687416628,0.11618663218731512
12,2.0394588776633436,-0.797680510673672,0.18826934462413192,-0.5017383610829711,2.017878194414831,-0.7519866558750661,-0.20831105282352275,-0.5826423411711957
14,3.2470897246637747,0.09419472794979811,-0.11061452375724912,-0.4677543709985912,4.868543930785802,0.09940612665956144,0.05243182651803903,-0.090916098168602
15,2.4392198068525413,0.9604108026251197,0.40037538995966315,-0.832500244025141,2.107017599127004,1.1368460811771555,0.004208533894991437,-0.6201225154474453
16,1.067270537079237,-0.7110810466110706,0.5845639794133604,-0.3031212273053825,0.8050045566885379,-0.8142365272499369,0.05610405605202746,-0.14703364098500335
17,1.4109516420456671,-0.23488139919936657,-0.009012287482619286,-0.8089284058660269,0.9891880566158877,-0.24498806138275828,-0.3687571213521423,-0.09759090872363681
20,1.097574932440192,0.9780411734245718,-0.2371290661394596,-0.3062898232601583,1.5327666670009363,0.9321468873511225,-0.5787341141046675,-0.1730925939425893
22,1.0077818344650324,0.8181747868657112,0.175824876409024,-0.8589957896620035,0.9616602886694732,0.840954008537305,-0.14417425664015193,-0.6387699535785734
23,5.184562237946112,0.23788511333987117,-0.8924973960965872,0.14883596077561378,4.407608236221919,0.26913193157411236,-1.2019071024524175,-0.44902340128318974
28,2.773265622573905,0.6806700476445258,0.38875782303512096,0.3284738501533866,2.4020855400730494,0.8300234056763205,-0.11185017150732443,0.020790437114534117
29,3.149269787105089,0.05696846405044198,-0.6968529890291393,0.12834565714001656,2.487465947344362,0.058031170557129405,-0.9082203906980802,-0.125383806439663
30,1.3250690040234103,0.4786516232416034,0.14705590205267072,0.6084862123243511,1.465093826365064,0.5785427590021054,-0.7161397076221391,0.278660819103017
31,3.290659485257212,-0.2563326950185001,0.9076816933229566,-0.13108385214582086,2.3161827736708145,-0.2220336550841358,0.7699141187799083,-0.23310887997880758
36,1.4782768378041908,0.7730482635088265,-0.7916660783812404,0.062208821065723896,1.283477968479316,0.9638108924553356,-0.04844566449693396,0.4021591498344306
37,2.663380606558204,0.5102814044803381,0.5520990528166294,0.34551991848275065,2.673383875627768,0.5242355933865304,0.6678729846343092,0.5645662083623344
39,2.9273664674826043,-0.5828266330063343,-0.5333510963246226,-0.5366142904385924,3.6995850495426668,-0.7882514710016352,-0.5998081332881192,-0.25851289672321076
40,2.072661417738906,0.39104396337643266,0.4496398167684674,-0.8167498242110014,1.2634664741067347,0.7538700166832808,0.24458744133474927,-0.6326276247855241
41,1.1122260502348447,-0.1267786123789847,0.23567865835502744,-0.9670653967186809,0.3367537548631302,0.13626591815515404,-0.17879343140718829,-1.1748937015932424
