id,tau,theta,omega,kappa,tau_est,theta_est,omega_est,kappa_est
1,2.833976196808973,0.08025835221633315,0.6280875778757036,-0.439023629296571,2.644826320518571,0.08383422410337654,0.7189350737226524,-0.19290812707369254
3,1.6349611391471806,0.4646261534653604,0.08866845117881894,0.472460001707077,1.1842336042497055,0.670218647903976,0.48510709485805936,0.16911928083807384
6,2.1865397330974656,0.13713794434443116,0.3627336868084967,-0.8391236737370491,1.4664105082470513,0.03143791950791565,0.3814874853796344,-0.5492372908124296
10,1.5908436308834424,0.9228352289646864,0.812461500056088,0.9712829468771815,1.048052430680175,0.9195143834087448,0.30005778865465327,0.7067897654905442
13,2.0067031091593592,0.41357073886319995,0.07491478696465492,0.005036062560975552,1.0842429163340288,0.8639371566611738,0.41344842943454935,-0.03722598490846106
15,3.043723214305819,0.9285078546963632,-0.12511825608089566,0.24501303350552917,2.4058818396249917,1.1790869267972848,-0.22130438036337774,0.20096442945714915
19,1.4169702276230052,0.9567736946046352,0.5878538554534316,0.6097991005517542,1.0601050403592611,1.168980211697812,0.2694041082159437,0.5246221192081169
20,1.1034512988337848,-0.1352536790072918,-0.9733370933681726,0.7529986537992954,1.5137746038821052,-0.20012700483681362,-0.9555619799549011,0.8870488749885216
23,2.6959257217832953,0.8412164989858866,0.07391271460801363,-0.5257357018999755,1.9323340331814716,1.3150161483601401,-0.1522240788214171,-0.12241121797145149
28,1.3936674871493233,0.8220774815417826,0.5272388299927115,-0.5275268601253629,1.178916793710178,0.9167243776451274,0.4862671411149843,-0.68066861688181
29,2.3574506611527366,-0.7720670001581311,0.9273356883786619,0.8342062709853053,1.9652470566087357,-0.7880858479629907,0.46169931240132084,0.7959018980174091
30,2.5907160066251076,-0.9811238897964358,-0.8690450312569737,-0.7165127978660166,2.8125267722574194,-1.0213879026647588,-0.5788276689836314,-0.5099282943472753
31,1.3260875300922839,0.14937426755204797,-0.8805769388563931,-0.8237726087681949,0.9629492747598258,0.2634237844500872,-0.5185290066928352,-0.7208756987472106
32,1.2723825020885833,-0.4203551700338721,-0.5364662469364703,-0.638020055834204,1.8640724656177214,-0.37173583614629685,-0.20649122408604045,-0.4301979925792184
36,1.1986950523491502,0.7872676607221365,-0.7185387182980776,-0.11841257940977812,0.8813933025150835,0.852870576171549,0.01261985503500136,-0.08662781666263765
39,3.7371517915234156,0.38221936160698533,-0.7935914634726942,-0.39789448445662856,2.4834948208637755,0.43226901022798186,-1.0916090475029359,-0.31954025517600004
