Subject,phase,V1,V2,V3,V4,V5,V6,V0,id,session,meanHighChoice,meanPerf,propBest_HvLv,n_HvLv_trials,propBest_HvLv_eqRounds
1,1,0.06666666666666667,0.21666666666666667,0.125,0.25833333333333336,0.058333333333333334,0.275,0,1901,2,0.75,0.8982308559415775,0.9166666666666666,72,0.9166666666666666
1,2,0.10833333333333334,0.275,0.05,0.25833333333333336,0.041666666666666664,0.26666666666666666,0,1901,2,0.8,0.9512655150126645,1,72,1
2,1,0.058333333333333334,0.25,0.13333333333333333,0.21666666666666667,0.09166666666666666,0.25,0,1900,2,0.7166666666666667,0.8744016943989129,0.8611111111111112,72,0.8611111111111112
2,2,0.10833333333333334,0.24166666666666667,0.058333333333333334,0.24166666666666667,0.058333333333333334,0.2916666666666667,0,1900,2,0.775,0.9251587860468193,0.9583333333333334,72,0.9583333333333334
3,1,0.08333333333333333,0.2,0.1,0.225,0.11666666666666667,0.275,0,1898,2,0.7000000000000001,0.8589786207233694,0.8333333333333334,72,0.8333333333333334
3,2,0.075,0.23333333333333334,0.1,0.25,0.05,0.2916666666666667,0,1898,2,0.775,0.9277683645510428,0.9583333333333334,72,0.9583333333333333
4,1,0.11666666666666667,0.225,0.058333333333333334,0.24166666666666667,0.13333333333333333,0.21666666666666667,0.008333333333333333,1895,2,0.6833333333333333,0.8154520392035726,0.8055555555555556,72,0.8055555555555556
4,2,0.075,0.25,0.05,0.25833333333333336,0.11666666666666667,0.25,0,1895,2,0.7583333333333333,0.9155153065337697,0.9305555555555556,72,0.9305555555555556
5,1,0.13333333333333333,0.225,0.075,0.26666666666666666,0.1,0.2,0,1894,2,0.6916666666666667,0.8317018334995036,0.8194444444444444,72,0.8194444444444444
5,2,0.08333333333333333,0.25833333333333336,0.11666666666666667,0.25833333333333336,0.041666666666666664,0.23333333333333334,0.008333333333333333,1894,2,0.75,0.8973246308279198,0.9166666666666666,72,0.9166666666666666
6,1,0.10833333333333334,0.225,0.15,0.21666666666666667,0.09166666666666666,0.20833333333333334,0,1893,2,0.65,0.7713503946955343,0.75,72,0.75
6,2,0.1,0.25,0.06666666666666667,0.25833333333333336,0.05,0.275,0,1893,2,0.7833333333333333,0.9336228805320946,0.9722222222222222,72,0.9722222222222222
7,1,0.058333333333333334,0.2,0.10833333333333334,0.21666666666666667,0.15833333333333333,0.25833333333333336,0,1890,2,0.675,0.7949403293219556,0.7916666666666666,72,0.7916666666666666
7,2,0.041666666666666664,0.275,0.1,0.24166666666666667,0.075,0.26666666666666666,0,1890,2,0.7833333333333334,0.9262163505081182,0.9722222222222222,72,0.9722222222222222
8,1,0.09166666666666666,0.20833333333333334,0.125,0.20833333333333334,0.15,0.20833333333333334,0.008333333333333333,1888,2,0.625,0.7310185335699608,0.7083333333333334,72,0.7083333333333334
8,2,0.125,0.225,0.125,0.175,0.13333333333333333,0.20833333333333334,0.008333333333333333,1888,2,0.6083333333333334,0.7416447498102949,0.6805555555555556,72,0.6805555555555556
9,1,0.09166666666666666,0.25,0.06666666666666667,0.25833333333333336,0.075,0.25,0.008333333333333333,1887,2,0.7583333333333333,0.8983331090106395,0.9305555555555556,72,0.9305555555555556
9,2,0.041666666666666664,0.2833333333333333,0.08333333333333333,0.25,0.075,0.26666666666666666,0,1887,2,0.8,0.9621269205719966,1,72,1
