id,tau,tau_est
1,1.8285675023081278,1.9450857371840573
2,0.8704764086541886,1.1061023165657193
3,0.5814556441053036,0.701534339513901
4,3.2311847036892387,2.8222592602121024
5,0.8068945048055157,0.7828907530238768
6,0.7764461828943382,1.0865845933619644
7,1.3329172750817408,1.2249700703970534
8,1.3143154081368897,1.2527501515535029
9,1.3260783792366078,1.7371272658389765
10,1.5605197120380292,1.3645903763272174
11,1.2694660130381046,1.3350199449518418
12,1.6473916557833665,1.1723405391583608
13,1.4742169202953317,1.1171085038122772
14,0.9682844237866683,1.159492630011975
15,0.6189399455601078,1.1270106205600925
16,1.0566914436500023,1.1430607352116795
17,1.2911131495393102,0.8926639679664339
18,1.5771157565749583,1.188282894496363
19,1.5198107797986555,1.1846519031888554
20,0.29881889565730785,0.7046054812196442
21,0.9351539507151468,0.9013545215402131
22,1.2780595464617792,1.3551712689773048
23,1.2464181228404345,1.172920123282878
24,0.7946967207035018,0.9152675600024377
25,1.4146188395546253,1.6592383797545174
26,2.062878742701522,1.9641436654526243
27,0.7502281937089351,0.9983030368393422
28,1.6683379002066643,1.9823161192818057
29,1.007597868611639,1.0063271386005197
30,1.5967563664539535,1.3787082653349672
31,0.5762874065069181,0.6589453647676674
32,1.26845108679321,1.164718210901122
33,1.425781406341662,1.3000801729660532
34,1.284833361661738,1.1625518886052624
35,2.2581518980861737,1.3454075124843665
36,1.7928555553269743,1.7841713410870286
37,2.974333036567551,3.610448190946429
38,1.9552080281749737,1.5231241831518876
39,1.1585241717656405,1.2675259213981431
40,1.2623168094369352,1.1492518794705695
41,0.48444656986758,0.7003803490087025
42,1.7062898958096744,1.2106791577237106
43,1.5336987733382683,1.2825397253428115
44,1.1506321660843484,1.113079965375855
45,1.6440620482196495,1.6373297668457505
46,1.6229689529619542,1.2802002504707197
47,1.739606775023755,1.3847533740734281
48,1.8701019401305154,1.2371215953454047
49,1.2994148652592112,1.0041344636637675
50,1.282004641021306,1.0515510582530694
51,2.4670315552380218,1.8296410837747124
52,1.3378153695942185,1.2635856186501637
53,1.7409741488269237,1.511278849342382
54,1.6611016133127812,1.1055010659710904
55,1.084538728721835,1.6714952080189478
56,0.7546298540415309,1.431865348227098
57,0.43871348338955046,1.100524307228651
58,1.4720805083326673,1.2971201241407024
59,0.44800324000976577,0.6965722969158231
60,1.7840824935130897,2.117793410516469
61,0.7201510969121966,0.9238003296770585
62,0.2795719668259105,0.7091216954601559
63,1.0175321093138607,1.0443430535435545
64,1.3976842917883858,1.193124143818779
65,1.003809616065394,1.1034078968971297
66,0.4112548333800868,0.8316780475894022
67,1.7670365331696214,1.7015451240724084
68,0.5046381759799132,0.6276779586389338
69,0.5143854481732181,0.9309100102889085
70,0.8451540178391631,1.1285690460455815
71,0.9965595128649692,1.1601488104880806
72,1.25575171464328,1.5323269321940458
73,1.2011290223601656,1.1342706023771036
74,0.7231466197956811,0.7830506196973017
75,0.35517827563732884,0.675525738498195
76,1.079717255322973,1.2108139912197629
77,2.0044114436479816,2.1236102652435203
78,1.4358986477229772,1.254984237362132
79,0.8788589320082505,0.9600112041954637
80,1.1717865587718201,0.9849627545815287
81,1.0929658657470713,1.0256801630862964
82,1.0887138423883982,1.1906561897066787
83,1.9860563581479596,1.6282106366965656
84,1.0907805983504362,1.1423561759189915
85,0.6536938681936603,1.0400111904065588
86,0.7055311498214587,1.0097234421511092
87,0.759573129244313,0.9243346809731905
88,1.2230723193741013,1.288318309029569
89,1.1005355062847435,1.2174535478332982
90,1.8171401876612798,1.630789698212114
91,1.026935792349925,1.1005962281133999
92,0.8802071508682304,1.061056478297664
93,0.42614227754748674,1.4687047821937091
94,0.6060719163059977,1.0041764825167223
95,1.2811930594353629,1.0677573342153737
96,0.837130632406944,0.8154206036898547
97,1.763506262328274,1.2143680901867133
98,0.6446151457798848,0.8644604081040872
99,0.6147999327591033,0.8913556841847041
100,0.3462623505397531,0.7799738387890707
